"'70.01953125","'89.01367188","'80.76171875","'79.34570313","'83.10546875","'85.54687500","'24.85351563","'86.27929688","'77.83203125","'48.85253906","'83.20312500","'72.26562500","'34.37500000","'79.83398438","'39.45312500","'79.34570313","'32.54394531","'76.75781250","'26.58691406","'82.32421875","'66.06445313","'73.82812500","'85.54687500","'45.67871094","'79.78515625","'46.48437500","'82.81250000","'75.43945313","'84.66796875","'76.12304688","'81.10351563","'85.83984375","'66.79687500","'82.22656250","'45.38574219","'85.79101563","'83.54492188","'80.41992188","'83.59375000",
"'70.75195313","'89.99023438","'81.64062500","'80.22460938","'84.03320313","'86.47460938","'25.12207031","'87.25585938","'78.71093750","'49.38964844","'84.13085938","'73.04687500","'34.76562500","'80.71289063","'39.89257813","'80.22460938","'32.91015625","'77.58789063","'26.87988281","'83.25195313","'66.79687500","'74.60937500","'86.52343750","'46.16699219","'80.66406250","'46.99707031","'83.69140625","'76.26953125","'85.59570313","'76.95312500","'82.03125000","'86.76757813","'67.57812500","'83.10546875","'45.89843750","'86.71875000","'84.42382813","'81.34765625","'84.47265625",
"'68.89648438","'87.59765625","'79.49218750","'78.07617188","'81.78710938","'84.17968750","'24.46289063","'84.91210938","'76.61132813","'48.07128906","'81.88476563","'71.14257813","'33.83789063","'78.61328125","'38.81835938","'78.07617188","'32.03125000","'75.53710938","'26.17187500","'81.05468750","'64.99023438","'72.65625000","'84.22851563","'44.94628906","'78.56445313","'45.75195313","'81.49414063","'74.26757813","'83.34960938","'74.95117188","'79.83398438","'84.47265625","'65.77148438","'80.90820313","'44.67773438","'84.42382813","'82.22656250","'79.15039063","'82.27539063",
"'71.58203125","'91.01562500","'82.56835938","'81.15234375","'85.00976563","'87.45117188","'25.41503906","'88.23242188","'79.58984375","'49.95117188","'85.10742188","'73.87695313","'35.15625000","'81.64062500","'40.33203125","'81.15234375","'33.27636719","'78.51562500","'27.17285156","'84.22851563","'67.52929688","'75.48828125","'87.50000000","'46.70410156","'81.59179688","'47.53417969","'84.66796875","'77.14843750","'86.57226563","'77.83203125","'82.95898438","'87.79296875","'68.31054688","'84.08203125","'46.41113281","'87.74414063","'85.40039063","'82.27539063","'85.44921875",
"'70.01953125","'89.01367188","'80.76171875","'79.34570313","'83.10546875","'85.54687500","'24.85351563","'86.27929688","'77.83203125","'48.85253906","'83.20312500","'72.26562500","'34.37500000","'79.83398438","'39.45312500","'79.34570313","'32.54394531","'76.75781250","'26.58691406","'82.32421875","'66.06445313","'73.82812500","'85.54687500","'45.67871094","'79.78515625","'46.48437500","'82.81250000","'75.43945313","'84.66796875","'76.12304688","'81.10351563","'85.83984375","'66.79687500","'82.22656250","'45.38574219","'85.79101563","'83.54492188","'80.41992188","'83.59375000",
"'68.11523438","'86.62109375","'78.61328125","'77.24609375","'80.90820313","'83.25195313","'24.18212891","'83.98437500","'75.78125000","'47.53417969","'80.95703125","'70.31250000","'33.47167969","'77.73437500","'38.40332031","'77.24609375","'31.66503906","'74.70703125","'25.87890625","'80.12695313","'64.25781250","'71.82617188","'83.30078125","'44.43359375","'77.68554688","'45.23925781","'80.56640625","'73.43750000","'82.37304688","'74.07226563","'78.95507813","'83.54492188","'65.03906250","'80.02929688","'44.18945313","'83.49609375","'81.29882813","'78.27148438","'81.34765625",
"'71.48437500","'90.91796875","'82.51953125","'81.05468750","'84.91210938","'87.35351563","'25.39062500","'88.13476563","'79.54101563","'49.90234375","'85.00976563","'73.82812500","'35.13183594","'81.59179688","'40.30761719","'81.05468750","'33.25195313","'78.41796875","'27.14843750","'84.13085938","'67.48046875","'75.39062500","'87.40234375","'46.65527344","'81.54296875","'47.48535156","'84.57031250","'77.05078125","'86.47460938","'77.78320313","'82.86132813","'87.69531250","'68.26171875","'83.98437500","'46.36230469","'87.64648438","'85.30273438","'82.17773438","'85.35156250",
"'70.21484375","'89.30664063","'81.00585938","'79.58984375","'83.39843750","'85.79101563","'24.92675781","'86.57226563","'78.07617188","'48.99902344","'83.44726563","'72.50976563","'34.49707031","'80.07812500","'39.57519531","'79.58984375","'32.64160156","'77.00195313","'26.66015625","'82.61718750","'66.25976563","'74.02343750","'85.83984375","'45.80078125","'80.07812500","'46.63085938","'83.05664063","'75.68359375","'84.91210938","'76.36718750","'81.39648438","'86.13281250","'67.04101563","'82.47070313","'45.53222656","'86.08398438","'83.78906250","'80.71289063","'83.83789063",
"'73.19335938","'93.06640625","'84.42382813","'82.95898438","'86.91406250","'89.45312500","'26.00097656","'90.23437500","'81.39648438","'51.07421875","'87.01171875","'75.58593750","'35.96191406","'83.49609375","'41.25976563","'82.95898438","'34.03320313","'80.27343750","'27.78320313","'86.13281250","'69.09179688","'77.19726563","'89.50195313","'47.75390625","'83.44726563","'48.60839844","'86.57226563","'78.90625000","'88.52539063","'79.58984375","'84.81445313","'89.74609375","'69.87304688","'85.98632813","'47.46093750","'89.69726563","'87.35351563","'84.13085938","'87.40234375",
"'61.23046875","'87.10937500","'77.58789063","'69.58007813","'79.83398438","'82.17773438","'23.87695313","'82.91015625","'74.80468750","'46.92382813","'79.93164063","'69.43359375","'33.03222656","'76.70898438","'37.89062500","'76.22070313","'31.27441406","'73.73046875","'25.53710938","'79.10156250","'63.42773438","'70.89843750","'82.17773438","'43.87207031","'76.66015625","'44.65332031","'79.54101563","'72.46093750","'81.34765625","'73.14453125","'77.92968750","'82.47070313","'64.20898438","'78.95507813","'43.60351563","'82.42187500","'80.22460938","'77.29492188","'68.99414063",
"'61.23046875","'87.10937500","'59.81445313","'69.58007813","'61.57226563","'63.33007813","'18.40820313","'63.91601563","'57.66601563","'36.18164063","'61.62109375","'53.51562500","'25.46386719","'59.13085938","'29.22363281","'58.74023438","'24.10888672","'56.83593750","'19.67773438","'60.98632813","'48.90136719","'54.63867188","'63.37890625","'33.81347656","'59.08203125","'34.42382813","'61.32812500","'55.85937500","'62.69531250","'56.39648438","'60.05859375","'63.57421875","'49.48730469","'60.88867188","'33.61816406","'63.52539063","'61.86523438","'59.57031250","'68.99414063",
