source_file,row_data
Montreal.csv,source_file,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27
Montreal.csv,page_0056_tables.csv,,Montreal West,,,9,,,,,,,,8,,,,,4,,,,,,2,,,
Montreal.csv,page_0056_tables.csv,,Montréal,,,168,60,,26,17,,10,2,359,,,304,199,235,8,,214,,2,234,,,
Montreal.csv,page_0057_tables.csv,Laval,Pointe aux Trembles Montréal Est,,,,,,,,,,,,,,69,,,,,,,,,,,
Montreal.csv,page_0058_tables.csv,,Montreal West,,,3,,,,,,,,17,,,1,,2,,,,,,,,,
Montreal.csv,page_0058_tables.csv,,Montréal,,,125,68 19,,,,,,,1,,,3,,3,,,,,1,1,,,
Montreal.csv,page_0059_tables.csv,,Montréal Nord,,,,,,,,,,,,,,,,,,,,,,,,HEALTH,
Montreal.csv,page_0060_tables.csv,,Montreal West,,,4,1,,,,,,,4,,,4,,,,,1,,1,,,,
Montreal.csv,page_0060_tables.csv,,Montréal,,,58,66,1,11,9,,1,2,141,2,,240,112,133,1,,150,,8,273,,,
Montreal.csv,page_0061_tables.csv,Laval,Montréal Est,,,,2,,,,,,,,,,3,,,,,,,2,,,,
Montreal.csv,page_0061_tables.csv,,Montreal West,,,,1,,,,,,,1,,,5,,,,,,,,,,,
Montreal.csv,page_0062_tables.csv,,Montréal Québec,,,61,70 7,1,11,4,,4,3,34,,,112,9,84 14,1,,198 4,,13,49,,,
Montreal.csv,page_0062_tables.csv,,Montréal-Est,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0062_tables.csv,,Montréal-Nord,,,,,,,,,,,,,,,,2,,,,,,,,,
Montreal.csv,page_0063_tables.csv,,Montreal West,,,3,,,,,,,,,1,,,1 2,,2,,,,,,,1,
