source_file,value_at_4,computed_sum,values_used,matches
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,292,6398,9:6049;12:1;15:4;18:24;21:8;24:91;27:77;30:17;33:17;36:47;39:63,False
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,348,6627,9:6351;12:2;15:4;18:8;21:7;24:78;27:52;30:12;33:15;36:42;39:56,False
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,306,6904,9:6618;12:3;15:6;18:26;21:3;24:64;27:75;30:12;33:16;36:31;39:50,False
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,271,7226,9:6921;12:5;15:7;18:15;21:12;24:86;27:49;30:15;33:20;36:46;39:50,False
padded_cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,291,8476,9:8132;12:3;15:4;18:7;21:6;24:93;27:80;30:22;33:15;36:42;39:72,False
padded_cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,151,182,9:21;18:1;21:40;24:78;27:2;33:18;36:7;39:15,False
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,316,7792,9:7524;12:2;15:3;18:11;21:7;24:77;27:57;30:8;33:15;36:38;39:50,False
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,259,7995,9:7746;12:3;15:5;18:11;21:8;24:72;27:40;30:12;33:13;36:29;39:56,False
padded_cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,238,8229,9:7984;12:5;15:2;18:6;21:7;24:91;27:53;30:13;33:9;36:23;39:36,False
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,213,8531,9:8249;15:4;18:14;21:5;24:84;27:67;30:13;33:15;36:43;39:37,False
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,176,8725,9:8494;12:6;15:2;18:21;21:2;24:89;27:44;30:8;33:11;36:13;39:35,False
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,170,8860,9:8666;12:3;15:1;18:6;21:2;24:57;27:48;30:6;33:21;36:20;39:30,False
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,172,9002,9:8862;12:6;15:3;21:1;24:38;27:30;30:8;33:9;36:24;39:21,False
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,,0,,False
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,,0,,False
padded_cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,117,9213,9:9139;12:1;15:2;18:6;21:1;24:14;27:12;30:14;33:2;36:8;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,172,243,9:6;15:2;21:48;24:138;27:5;30:1;33:10;36:18;39:15,False
padded_cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,90,9287,9:9199;12:2;15:4;18:12;24:15;27:18;30:6;33:12;36:6;39:13,False
padded_cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,79,9337,9:9264;12:5;15:4;18:14;21:1;24:13;27:16;30:6;33:4;36:6;39:4,False
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,90,86,12:12;15:26;21:6;24:16;27:2;33:3;36:6;39:15,False
padded_cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,58,9401,9:9345;12:2;15:1;18:2;24:19;27:11;33:5;39:16,False
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,77,9441,9:9382;12:3;15:2;18:10;21:1;24:21;30:3;33:8;39:11,False
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,83,9485,9:9419;15:2;18:8;24:20;27:11;30:5;33:6;36:8;39:6,False
padded_cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,85,9556,9:9470;15:5;18:10;24:16;27:9;30:4;33:8;36:7;39:27,False
padded_cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,75,9616,9:9530;12:1;15:1;18:11;21:3;24:19;27:16;30:3;33:3;36:16;39:13,False
padded_cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,129,9707,9:9620;12:2;15:3;18:10;21:5;24:20;27:14;30:8;33:6;36:12;39:7,False
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,132,9835,9:9719;12:2;15:7;18:20;21:1;24:27;27:23;30:8;33:6;36:6;39:16,False
padded_cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,223,218,9:3;15:1;21:49;24:116;27:2;30:4;36:28;39:15,False
padded_cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,100,9961,9:9842;12:2;15:6;18:16;21:2;24:29;27:24;30:6;33:7;36:8;39:19,False
padded_cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,147,10225,9:10062;12:3;15:6;18:16;21:3;24:48;27:37;30:9;33:6;36:11;39:24,False
padded_cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,137,10480,9:10320;12:4;15:3;18:16;21:3;24:33;27:35;30:7;33:5;36:24;39:30,False
padded_cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,195,10778,9:10604;12:5;18:30;21:2;24:36;27:44;30:10;33:10;36:17;39:20,False
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,122,11203,9:10939;12:3;15:6;18:12;21:1;24:78;27:68;30:16;33:13;36:28;39:39,False
padded_cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,134,11602,9:11374;12:4;15:8;18:16;21:2;24:74;27:46;30:13;33:10;36:22;39:33,False
padded_cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,186,12010,9:11750;12:5;15:5;18:19;21:3;24:74;27:53;30:10;33:18;36:28;39:45,False
padded_cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,204,12395,9:12135;12:7;15:3;18:16;21:4;24:78;27:71;30:13;36:22;39:46,False
padded_cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,202,12942,9:12626;12:4;15:8;18:5;21:2;24:72;27:67;30:17;33:35;36:54;39:52,False
padded_cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,183,13396,9:13007;12:3;15:12;18:15;21:1;24:137;27:70;30:17;33:18;36:26;39:90,False
padded_cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,329,1825,9:1458;12:2;15:7;18:9;21:4;24:92;27:64;30:20;33:13;36:77;39:79,False
padded_cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,200,13690,9:13397;12:3;15:6;18:10;24:82;27:50;30:10;33:41;36:50;39:41,False
padded_cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,94,14390,9:14148;12:4;15:5;18:5;21:2;24:42;27:90;30:7;33:31;36:29;39:27,False
padded_cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,145,14406,9:14054;12:3;15:10;18:28;21:3;24:69;27:63;30:12;33:12;36:98;39:54,False
padded_cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,342,2167,9:1785;12:3;15:7;18:2;21:1;24:84;27:66;30:20;33:26;36:93;39:80,False
padded_cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,341,2589,9:2157;12:3;15:8;18:13;21:3;24:108;27:69;30:13;33:28;36:70;39:117,False
padded_cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,346,2920,9:2548;12:1;15:9;18:11;21:7;24:71;27:95;30:17;33:15;36:64;39:82,False
padded_cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,342,3374,9:2986;12:2;15:4;18:20;21:3;24:100;27:67;30:17;33:21;36:55;39:99,False
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,402,3885,9:3479;12:2;15:2;18:18;21:3;24:126;27:63;30:25;33:21;36:72;39:74,False
