source_file,value_at_4,computed_sum,values_used,matches
padded_cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,248,308,15:3;21:113;24:33;33:33;36:112;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,294,265,15:4;21:74;24:16;33:80;36:77;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,884,1379,9:5;15:46;21:851;24:300;27:1;30:1;33:27;36:134;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,251,349,21:135;33:44;36:156;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,372,245,21:48;27:4;33:90;36:89;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,249,93,15:1;21:28;24:35;33:15;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1365,1256,15:36;21:832;24:229;27:2;30:1;33:33;36:109;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1242,1510,9:22;15:73;21:951;24:293;27:7;30:2;33:26;36:122;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1496,1485,9:4;15:41;21:999;24:260;27:12;33:13;36:142;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1471,1642,9:5;15:60;21:945;24:434;27:15;33:18;36:151;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1628,2086,15:35;21:1334;24:409;27:8;33:29;36:257;39:14,False
