Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
15,Scarlet fever, etc.⁵,108,81,195,"5,460","8,044","8,862",1,2,3,1,8,3,45,12,7,1,-,2,11,18,26,20,39,54,2,-,6,2,-,14,12,2,15,13,-,27,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:.,,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:⁴,157,209,196,"4,474","4,668","5,252",10,6,8,3,2,1,-,5,1,18,9,1/4,40,94,42,24,22,28,16,6,12,2,14,16,27,18,24,17,33,34,17
18,(a) Pulmonary,122,168,155,"3,625","3,732","4,193",10,6,7,1,1,-,-,5,1,17,7,14,39,88,41,6),(6),(6),14,6,12,2,12,11,25,18,23,14,25,30,18
19,(b) Non-pulmonary,11,19,13,272,260,260,-,-,BE,2,1,-,-,-,-,1,2,-,1,6,1,(6),(6),(6),2,-,-,-,2,5,2,-,1,3,8,6,19
20,Typhoid and paratyphoid,6,1,6,154,205,215,1,-,-,-,-,-,-,-,-,-,-,-,5,1,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,2,-,3,63,75,62,-,-,-,-,-,-,-,-,-,-,-,-,2,R.P,9.8,-,-,I,-,-,-,-,-,-,..,:.,: .,-,-,-,21
22,Venereal diseases:,307,324,274,"8,303","7,853","8,398",6,2,9,-,-,-,13,16,5,5.,6,6,56,81,46,30,34,48,32,32,27,35,24,30,60,54,54,70,75,64,22
23,(a) Syphilis, primary,1,3,4,69,50,81,I,-,-,-,-,-,-,-,-,-,:,-,1,-,1,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,23
24,(b) " secondary,1,1,1,26,22,31,-,-,-,-,-,-,-,-,-,-,:,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,FOR,24
25,(c) other,38,32,36,"1,102",940,"1,187",,-,-,-,-,-,2,1,-,1,],-,13,13,14,8,9,12,1,2,2,1,2,2,1,2,2,11,2,2,25
26,(d) Gonorrhoea,267,288,245,"7,102","6,840","7,027",6,2,9,-,-,-,11,15,2,4,5,5,41,68,32,22,25,39,31,29,26,34,21,27,59,51,52,59,72,62,26
27,(e) Other venereal diseases⁷,-,-,-,4,1,10,-,-,-,-,-,-,-,are,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,75,106,121,"3,538","4,480","4,378",-,-,-,-,an,5,-,9,2,-,-,-,11,38,43,34,36,23,2,1,8,2,1,5,26,16,11,1,5,23,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
