Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
9,Meningitis, meningococcal,11,8,2,205,188,188,9,4,-,-,-,-,-,1,-,-,1,-,-,2,-,1,-,1,-,-,-,-,-,1,1,:,:,-,-,-,9
10,Mumps,137,108,147,"19,324","21,329","21,329",:.,:.,:.,:,$ 0,..,5,7,2,..,:,:.,14,9,:,117,65,65,1,4,9,..,:,,:,..,..,-,23,25,10
11,Poliomyelitis, epidemic:4,7,10,96,109,151,794,-,-,1,-,-,-,-,-,3,-,-,3,3,2,11,2,1,18,-,1,15,-,-,9,2,4,28,-,2,7,11
12,(a) With paralysis,4,4,40,64,85,299,-,-,1,-,-,-,-,-,2,-,-,-,1,-,6,2,-,7,-,1,9,-,-,3,1,2,-,-,1,3,12
13,(b) Without paralysis,3,5,39,38,62,236,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,1,12,-,-,6,-,-,2,1,2,4,-,1,6,13
14,Rubella,60,100,53,"15,286","48,663","8,920",-,-,-,R.P.,...,R.R,6,21,-,9.8,A.9,,2,4,4,29,28,18,1,-,-,...,R.R,P..O,22,28,9,-,19,7,14
15,Scarlet fever, etc.⁵,64,68,82,"5,908","8,659","9,306",2,6,2,13,2,8,30,29,16,-,-,1,6,5,13,9.,13,16,1,2,3,-,3,2,3,4,6,-,4,4,15
16,Smallpox,-,-,-,-,-,-,-,-,-,A.A,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,142,168,175,"5,440","5,783","6,413",6,12,4,2,-,2,24,-,-,12,4,13,54,59,52,14,31,20,7,9,11,1,13,11,22,16,14,-,24,21,17
18,(a) Pulmonary,120,130,137,"4,421","4,627","5,170",6,12,4,-,-,2,24,-,-,10,4,11,53,57,51,(6),(6),(6),6,7,11,-,11,9,21,16,14,-,23,21,18
19,(b) Non-pulmonary,8,7,7,336,330,330,-,-,-,2,-,1,-,-,-,2,-,-,1,2,1,(6),(6),(6),1,2,-,1,2,2,1,-,-,-,1,2,19
20,Typhoid and paratyphoid,6,2,10,183,264,264,-,-,-,-,-,-,-,-,-,-,-,-,5,1,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,1,-,1,82,95,78,-,-,-,-,-,1,-,-,-,-,-,-,1,....,,-,-,-,-,-,-,-,-,-,...,....,..R,-,-,-,21
22,Venereal diseases:,212,386,379,"10,139","9,724","10,525",18,5,14,2,-,1,4,9,7,7,8,7,74,89,99,(8),51,51,25,37,26,37,37,35,45,50,58,-,100,66,22
23,(a) Syphilis, primary,3,3,3,87,62,94,-,-,-,-,I,-,-,I,1,1,-,*,1,-,-,-,-,-,-,-,-,2,1,-,1,1,I,-,1,-,23
24,(b) " secondary,-,-,-,31,27,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,26,53,40,"1,318","1,117","1,399",-,-,3,1,-,-,2,2,1,2,-,1,11,34,15,-,10,8,-,-,-,1,-,1,9,3,1,-,4,3,25
26,(d) Gonorrhoea,182,330,307,"8,697","8,516","8,780",18,5,11,1,-,-,2,7,5,5,8,6,61,55,86,-,41,43,25,37,26,34,36,31,36,46,52,-,95,62,26
27,(e) Other venereal diseases?,1,-,-,6,2,12,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,144,164,185,"4,295","5,220","5,113",-,-,1,-,2,3,6,11,1,-,-,-,42,46,69,74,72,32,-,-,4,4,1,10,18,17,18,-,15,12,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,1957,1956,1951-53
,,,average
Under 5 years,2,14,39
5- 9 years,5,17,39
10-14 years,2,11,24
15-19 years,-,6,16
20-39 years,8,24,39
40 years and over,2,8,7
