Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
16,Smallpox,,,,-,-,-,,-,-,,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1€
17,Tuberculosis:4,118,114,131,118,116,170,6,1,4,1,-,2,5,4,3,1,5,10,41,64,40,15,16,17,-,9,12,5,7,4,18,-,8,26,8,22,17
18,(a) Pulmonary,95,94,114,95,105,136,6,1,4,1,-,2,5,4,3,1,5,10,39,62,39,(6),(6),(6),-,8,12,3,6,2,18,-,8,22,8,20,18
19,(b) Non-pulmonary,8,4,4,8,3,4,,-,-,-,-,-,-,-,-,-,-,-,2,2,1,,,(6),-,1,-,2,1,1,-,-,-,4,-,2,19
20,Typhoid and paratyphoid,8,2,5,8,6,5,1,-,-,-,-,-,-,-,-,-,-,-,6,-,5,1,(1,-,-,-,-,-,-,-,-,-,-,-,1,-,20
21,Undulant fever,2,4,1,2,5.,1,I,-,-,-,-,-,-,-,-,-,-,-,...,4,1,1,-,-,-,-,-,-,-,-,1,....,:,-,-,-,21
22,Venereal diseases:,28/4,176,250,284,259,286,6,6,5,1,2,1,7,2,12,-,1,7,83,28,70,37,37,39,-,15,18,14,19,14,51,40,44,85,26,28,22
23,(a) Syphilis, primary,w,2,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,2,1,-,-,23
24,(b) secondary,,,,,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,26,21,34,26,20,38,-,-,-,-,-,-,-,-,-,-,1,1,19,to,9,6,5,5,-,-,-,1,2,1,-,5,3,-,-,2,25
26,(d) Gonorrhoea,255,153,213,255,233,241,6,6,3,1,2,1,7,2,12,-,-,5,64,20,64,31,32,34,-,13,18,11,17,14,51,35,38,84,26,26,26
27,(e) Other venereal diseases⁷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,67,69,133,67,133,133,-,-,1,-,1,2,-,-,4,-,-,1,17,39,28,28,13,51,-,5,4,1,3,4,17,3,12,4,5,9,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
