Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
14,Rubella,376,583,457,"12,528","38,177","6,401",-,-,-,,,...,-,27,9,,...,A.M.,19,16,37,55,114,231,2,1,1,...,...,...,216,327,20,84,98,37,14
15,Scarlet fever, etc.⁵,127,134,330,"4,556","6,802","7,524",3,2,2,2,2,4,16,46,10,1,-,6,22,13,88,52,51,97,2,1,20,8,5,12,7,11,29,14,3,23,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,R.P.,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: 4,199,160,212,"3,310","3,521","3,871",10,3,5,2,1,2,-,3,4,12,17,5,97,61,72,16,19,25,14,15,20,2,3,8,20,13,16,26,25,36,17
18,(a) Pulmonary,173,132,175,"2,670","2,811","3,119",10,3,5,1,-,1,-,2,4,12,16,5,95,59,71,(6),(6),(6),12,14,20,-,1,7,20,13,15,23,24,28,18
19,(b) Non-pulmonary,10,9,14,207,191,193,-,-,-,1,1,1,-,1,-,-,1,-,2,2,2,(6),(6),(6),2,1,-,2,2,1,-,-,1,3,1,5,19
20,Typhoid and paratyphoid,2,6,6,115,133,163,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,-,3,2,44,55,43,-,-,-,-,-,-,,,-,-,-,-,-,...,3,R.P.,-,-,-,-,-,-,-,-,-,...,...,R.P.,-,-,-,21
22,Venereal diseases:,259,289,305,"6,315","6,084","6,642",21,6,9,-,1,-,1,3,5,4,4,4,61,53,74,(8),39,64,18,13,20,23,19,25,49,53,56,82,98,44,22
23,(a) Syphilis, primary,6,3,3,61,45,69,-,-,-,-,-,-,8,1,-,-,-,I,-,-,-,-,-,-,-,2,-,1,I,-,1,-,1,4,-,-,23
24,(b) " secondary,1,2,1.,20,18,25,#,-,-,1,I,-,I,-,I,-,-,-,I,-,-,-,-,-,1,1,I,-,1,I,I,-,-,I,-,I,24
25,(c) " other,39,44,44,832,737,938,-,1,1,-,-,-,I,-,-,#:,-,1,31,18,19,-,13,15,-,-,1,1,2,2,2,4,5,5,6,2,25
26,(d) Gonorrhoea,213,239,248,"5,398","5,284","5,503",21,5,7.,I,1,-,1,2,5,4,4,2,30,35,49,-,26,49,17,10,19,21,16,22,46,48,50,73,92,43,26
27,(e) Other venereal diseases⁷,-,1,-,4,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,27
28,Whooping cough,135,74,149,"2,828","3,635","3,481",-,-,-,2,-,-,7.,-,2,-,-,-,71,27,50,34,25,19,3,1,3,5,2,12,12,18,11,1,1,19,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
