82.91,81.84,86.18,87.30,63.28,87.84,81.05,69.58,83.54,73.78,79.30,82.96,75.83,81.25,24.30,80.66,35.33,84.38,70.51,77.54,83.35,43.38,79.64,45.80,83.06,75.00,82.76,74.46,30.76,85.25,79.25,79.64,21.41,85.79,78.56,80.76,81.59
82.47,81.40,85.74,86.87,62.94,87.35,80.62,69.24,83.11,73.34,78.86,82.52,75.39,80.86,24.18,80.22,35.16,83.89,70.12,77.15,82.91,43.16,79.25,45.56,82.62,74.61,82.32,74.07,30.62,84.81,78.86,79.20,21.30,85.35,78.12,80.37,81.15
81.59,80.57,84.81,85.89,62.26,86.43,79.74,68.51,82.23,72.56,78.03,81.64,74.61,79.98,23.93,79.35,34.77,83.01,69.38,76.32,82.03,42.70,78.37,45.07,81.74,73.83,81.45,73.29,30.27,83.89,77.98,78.32,21.07,84.42,77.29,79.49,80.27
83.98,82.91,87.30,88.43,64.11,88.96,82.08,70.51,84.62,74.71,80.32,84.03,76.81,82.32,24.62,81.69,35.79,85.45,71.39,78.56,84.42,43.95,80.66,46.39,84.13,75.98,83.79,75.44,31.18,86.33,80.27,80.62,21.69,86.87,79.54,81.79,82.62
82.13,81.05,85.35,86.47,62.70,87.01,80.27,68.95,82.76,73.05,78.56,82.18,75.10,80.47,24.07,79.88,34.99,83.54,69.82,76.81,82.57,42.97,78.91,45.36,82.28,74.27,81.93,73.78,30.47,84.42,78.52,78.86,21.20,84.96,77.78,79.98,80.81
83.64,82.57,86.91,88.04,63.82,88.57,81.74,70.17,84.28,74.37,79.98,83.69,76.46,81.98,24.51,81.35,35.64,85.06,71.09,78.22,84.08,43.75,80.32,46.19,83.79,75.63,83.45,75.10,31.03,85.99,79.93,80.27,21.59,86.52,79.20,81.45,82.28
86.33,85.21,89.75,90.87,65.87,91.46,84.38,72.46,86.96,76.81,82.57,86.38,78.91,84.62,25.32,83.94,36.79,87.84,73.39,80.76,86.82,45.17,82.91,47.68,86.47,78.08,86.13,77.54,32.03,88.77,82.52,82.86,22.29,89.31,81.79,84.08,84.91
85.45,84.33,88.82,89.94,65.23,90.53,83.50,71.73,86.08,75.98,81.69,85.50,78.12,83.74,25.05,83.11,36.40,86.91,72.66,79.93,85.89,44.70,82.08,47.19,85.60,77.29,85.25,76.76,31.71,87.84,81.64,82.03,22.06,88.38,80.91,83.25,84.08
83.59,82.52,86.87,87.99,63.82,88.53,81.69,70.17,84.23,74.37,79.93,83.64,76.42,81.93,24.50,81.30,35.62,85.01,71.04,78.17,84.03,43.73,80.27,46.17,83.74,75.59,83.40,75.05,31.03,85.94,79.88,80.27,21.58,86.47,79.15,81.45,82.23
85.06,83.94,88.38,89.55,64.89,90.09,83.11,71.39,85.69,75.63,81.35,85.11,77.73,83.35,24.93,82.71,36.23,86.52,72.31,79.54,85.50,44.51,81.69,46.97,85.21,76.90,84.86,76.37,31.57,87.45,81.30,81.64,21.96,87.99,80.57,82.86,83.69
83.45,82.37,86.72,87.89,63.67,88.43,81.54,70.02,84.08,74.22,79.79,83.50,76.32,81.79,24.46,81.15,35.57,84.91,70.95,78.08,83.89,43.65,80.18,46.09,83.59,75.49,83.25,74.95,30.96,85.79,79.79,80.13,21.55,86.33,79.05,81.30,82.13
87.65,86.52,91.11,92.29,66.89,92.87,85.64,73.58,88.33,77.98,83.84,87.70,80.13,85.89,25.71,85.25,37.35,89.16,74.51,81.98,88.13,45.85,84.18,48.41,87.79,79.30,87.45,78.71,32.52,90.14,83.79,84.18,22.63,90.67,83.01,85.40,86.23
82.81,81.79,86.08,87.21,63.23,87.74,80.96,69.53,83.45,73.68,79.20,82.86,75.73,81.20,24.28,80.57,35.30,84.28,70.41,77.49,83.30,43.33,79.59,45.75,82.96,74.95,82.67,74.41,30.74,85.16,79.15,79.54,21.39,85.69,78.47,80.71,73.05
71.09,70.17,73.88,74.85,54.25,75.29,69.48,59.67,71.63,63.23,67.97,71.09,64.99,69.68,20.84,69.14,30.30,72.31,60.40,66.46,71.48,37.18,68.26,39.26,71.19,64.31,70.95,63.82,26.37,73.10,67.92,68.26,18.36,73.54,67.33,69.24,73.05
