89.89,83.74,70.65,85.64,87.79,87.16,81.93,82.13,38.89,86.96,35.77,86.23,23.21,85.11,21.97,86.67,28.88,85.06,42.90,86.18,79.35,33.28,87.30,46.24,87.99,31.37,86.13,47.95,85.30,46.24,81.05,24.21,87.01,25.76,85.01,84.77,79.15,76.76
91.65,85.35,72.07,87.35,89.50,88.87,83.50,83.74,39.67,88.67,36.47,87.94,23.67,86.77,22.40,88.33,29.44,86.72,43.73,87.84,80.91,33.94,89.01,47.14,89.70,32.01,87.79,48.90,86.96,47.14,82.62,24.68,88.72,26.27,86.67,86.43,80.71,78.27
91.16,84.86,71.63,86.82,88.96,88.33,83.06,83.25,39.43,88.18,36.25,87.45,23.54,86.28,22.27,87.84,29.27,86.23,43.48,87.35,80.42,33.74,88.48,46.88,89.16,31.81,87.30,48.61,86.47,46.88,82.18,24.54,88.23,26.12,86.18,85.94,80.22,77.83
89.45,83.30,70.31,85.21,87.30,86.67,81.49,81.69,38.70,86.52,35.57,85.79,23.08,84.67,21.85,86.18,28.74,84.62,42.68,85.69,78.91,33.11,86.82,46.00,87.50,31.23,85.64,47.71,84.86,46.00,80.62,24.07,86.57,25.63,84.57,84.33,78.76,76.37
89.40,83.25,70.26,85.16,87.26,86.67,81.45,81.64,38.67,86.47,35.55,85.74,23.07,84.62,21.84,86.13,28.71,84.57,42.65,85.64,78.86,33.08,86.77,45.97,87.45,31.20,85.60,47.68,84.81,45.97,80.57,24.06,86.52,25.61,84.52,84.28,78.71,76.32
88.38,82.32,69.48,84.23,86.28,85.69,80.52,80.76,38.26,85.50,35.16,84.81,22.81,83.69,21.59,85.21,28.39,83.64,42.16,84.72,77.98,32.71,85.79,45.46,86.47,30.86,84.67,47.14,83.84,45.46,79.69,23.79,85.55,25.32,83.59,83.35,77.83,75.49
89.84,83.69,70.65,85.60,87.74,87.11,81.88,82.08,38.89,86.91,35.74,86.18,23.19,85.06,21.96,86.62,28.86,85.01,42.87,86.13,79.30,33.25,87.26,46.22,87.94,31.37,86.08,47.92,85.25,46.22,81.01,24.19,86.96,25.76,84.96,84.72,79.10,76.71
92.19,85.84,72.46,87.84,89.99,89.36,83.98,84.23,39.89,89.16,36.67,88.43,23.80,87.26,22.52,88.87,29.61,87.21,43.99,88.33,81.35,34.13,89.50,47.41,90.19,32.18,88.28,49.17,87.45,47.41,83.11,24.82,89.21,26.42,87.21,86.91,81.15,78.71
92.04,85.69,72.36,87.70,89.89,89.21,83.84,84.08,39.82,89.01,36.62,88.28,23.77,87.16,22.49,88.72,29.57,87.11,43.92,88.18,81.20,34.08,89.36,47.34,90.04,32.13,88.18,49.10,87.30,47.34,82.96,24.78,89.06,26.37,87.06,86.77,81.05,78.61
75.73,70.51,59.52,72.12,73.93,73.39,68.99,69.19,32.76,73.24,30.13,72.66,19.54,71.68,18.51,73.00,24.32,71.63,36.13,72.56,66.80,28.03,73.49,38.94,74.07,26.44,72.51,40.38,71.83,38.94,68.26,20.39,73.29,21.69,71.58,71.39,66.65,64.65
