DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 11, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,Diphtheria,12 (39),Measles,1533 (1208),"Meningitis, other",80 (199),"Poliomyelitis, with paralysis",152 (131),Typhoid fever,22 (37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",55 (65),Meningococcal infections,43 (52),"Poliomyelitis, acute",311 (313),"Poliomyelitis, without paralysis",116 (122),Undulant fever,16 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of reported cases of poliomyelitis for the week ended October 11 is 311. Of these, 152 were paralytic and 116 nonparalytic. For theweek ended October 12, 1957, there were 167 total cases reported with 88 of these paralytic and 63 nonparalytic.Reports from 2 states have not been received. The numer of total cases and paralytic cases reported from most of the geographic divisions for the current week remained abiut the same as or less than those for the previous week. But the West North Central and South Atlantic Divisions each reported a sizeable increase and the numbe of paralytic cases is slightly higher. The decrease in the total for this dividsion is largely due to the lower number of cases reported in Ohio. Michigan reported about the same number for each category as last week. Fifty-three of the 98 cases reported in Michigan for the curren week had onset in the week ended October 3; 28 had onset in the week ended September 26.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* NEWFOUNDLAND reports Chickpox (epidemic) at St. Mary's and Aquaforte, Ferrylan District.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** NEWFOUNDLAND reports Measles (epidemic) at Bay Roberts, C.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Samara Manzin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
