DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended June 14, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
22,Venereal diseases:,280,295,322,7529,7672,7703,8,10,10,-,-,-,5,9,8,8,4,4,85,63,72,33,28,56,13,19,22,29,28,21,57,62,59,42,72,81,22,,,,,,,,,,,
23,"(a) Syphilis, primary",-,1,2,41,65,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,23,,,,,,,,,,,
24,(b) '' secondary,-,-,1,23,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,35,44,36,901,1032,1079,-,-,1,-,-,-,-,4,1,1,2,-,24,18,11,6,3,14,-,2,1,1,1,-,1,4,1,2,10,3,25,,,,,,,,,,,
26,(d) Gonorrhoea,245,250,272,6563,6547,6513,8,10,8,-,-,-,5,5,6,7,2,4,61,45,59,27,25,42,13,17,21,28,27,21,56,57,58,40,62,73,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,1,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,132,222,165,2957,3356,4080,-,-,-,1,4,-,20,101,7,-,-,-,10,23,34,33,33,34,-,21,1,-,1,2,15,8,15,53,36,21,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Report not received ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,12 (5),Measles,27407 (33807),"Meningitis, other",84 (49),"Poliomyelitis, with paralysis",25 (14),Typhoid fever,24 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",38  (49),Meningococcal infections,34  (46),"Poliomyelitis, acute",55 (29),"Poliomyelitis, without paralysis",22 (12),Undulant fever,16 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No significant changes were observed for the current week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YUKON TERRITORY: Number of cases four weeks ended June 14: influenza, 11; measles, 3; hepatitis, infectious, 6; gonorrhoea, 20.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Gabrielle Mackinnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
