file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,2,13,13,TRUE,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,3,20,20,TRUE,79.2
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,4,12,12,TRUE,85.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,5,109,109,TRUE,87.99
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,6,87,87,TRUE,31.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,7,98,98,TRUE,88.09
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,8,-,-,TRUE,84.86
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,9,-,-,TRUE,70.07
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,10,-,-,TRUE,84.13
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,11,-,-,TRUE,81.69
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,12,-,-,TRUE,23.61
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,13,-,-,TRUE,82.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,14,-,-,TRUE,19.31
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,15,-,-,TRUE,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,16,-,-,TRUE,20.03
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,17,...,..,FALSE,85.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,18,..,..,TRUE,20.08
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,19,,..,FALSE,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,20,...,..,FALSE,78.91
