Table: Table_1
37.52,65.58,76.17,68.99,79.10,82.37,35.69,83.40,69.34,61.91,77.88,69.14,79.64,72.27,45.51,74.17,27.32,77.49,18.33,79.44,71.78,39.14,80.57,42.60,77.78,45.07,75.20,71.39,80.13,55.66,67.77,81.40,74.07,74.51,36.69,82.76,77.59,80.42,80.76
70.17,84.08,74.51,67.53,77.39,80.62,34.91,81.59,67.82,60.60,76.17,67.63,77.93,70.70,44.53,72.56,26.73,75.83,17.93,77.73,70.21,38.28,78.86,41.67,76.07,44.09,73.58,69.82,78.42,54.49,66.31,79.64,72.46,72.90,35.91,81.01,75.93,78.66,79.00
74.17,88.82,78.76,71.34,81.74,85.16,36.89,86.18,71.63,64.01,80.47,71.48,82.32,74.71,47.05,76.66,28.25,80.13,18.95,82.13,74.22,40.43,83.30,44.04,80.37,46.58,77.73,73.78,82.86,57.57,70.07,84.13,76.56,77.00,37.94,85.55,80.18,83.11,83.50
71.34,85.50,75.78,68.65,78.66,81.93,35.50,82.96,68.95,61.57,77.44,68.75,79.25,71.88,45.26,73.78,27.17,77.10,18.24,79.00,71.39,38.92,80.13,42.38,77.34,44.82,74.80,71.00,79.69,55.37,67.43,80.96,73.68,74.12,36.50,82.32,77.20,79.98,80.32
73.73,88.33,78.27,70.90,81.30,84.67,36.67,85.69,71.24,63.62,80.03,71.04,81.88,74.27,46.78,76.22,28.08,79.64,18.84,81.64,73.78,40.21,82.81,43.77,79.93,46.31,77.29,73.34,82.37,55.37,69.63,83.64,76.12,76.56,37.72,85.06,79.74,82.62,83.01
72.27,86.57,76.71,69.48,79.64,82.96,35.94,83.98,69.82,62.35,78.42,69.63,80.22,72.75,45.83,74.66,27.51,78.03,18.46,79.98,72.27,39.40,81.15,42.90,78.32,45.39,75.73,71.88,80.71,55.37,68.26,81.93,74.61,75.05,36.96,83.35,78.12,80.96,81.35
70.36,84.33,74.76,67.72,77.59,80.81,35.01,81.84,68.02,60.74,76.37,67.82,78.17,70.90,44.65,72.75,26.81,76.03,17.98,77.93,70.41,38.38,79.05,41.80,76.32,44.21,73.78,70.02,78.61,54.64,66.50,79.83,72.66,73.10,36.01,81.20,76.12,78.91,79.25
72.22,86.52,76.66,69.48,79.59,82.91,35.94,83.94,69.78,62.30,78.37,69.58,80.18,72.75,45.80,74.66,27.51,78.03,18.44,79.98,72.27,39.38,81.10,42.87,78.27,45.36,75.68,71.88,80.66,56.05,68.21,81.88,74.56,75.00,36.94,83.30,78.08,80.96,81.30
62.30,74.66,66.16,59.91,68.70,71.53,31.01,72.41,60.21,53.76,67.63,60.06,69.19,62.74,39.53,64.40,23.73,67.29,15.92,68.99,62.35,33.98,69.97,36.99,67.53,39.14,65.33,62.01,69.58,48.34,58.84,70.65,64.31,64.70,31.88,71.88,67.38,69.82,70.12
73.97,88.62,78.52,71.14,81.54,84.91,36.79,85.99,71.44,63.82,80.27,71.29,82.13,74.51,46.92,76.46,28.17,79.88,18.90,81.88,74.02,40.33,83.06,43.92,80.18,46.46,77.54,73.58,82.62,57.37,69.87,83.89,76.37,76.81,37.84,85.35,79.98,82.91,83.25
