Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
15,Scarlet fever, etc.⁵,100,74,218,"7,554","10,445","10,603",6,4,3,-,2,8,48,21,17,-,-,2,10,4,66,19,21,46,5,6,13,-,5,8,11,8,21,1,3,20,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,16
17,Tuberculosis:,193,142,153,"7,753","8,203","9,261",12,4,3,-,-,-,-,-,1,8,9,8,92,47,39,33,24,-,8,20,13,2,-,7,20,18,12,18,20,21,17
18,(a) Pulmonary,147,112,114,"6,353","6,561","7,535",12,4,2,-,-,-,-,-,1,8,7,8,92,47,38,(6),(6),(6),7,18,13,-,-,5,12,18,15,16,18,21,18
19,(b) Non-pulmonary,13,6,5,460,452,484,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,(6),(6),(6),1,2,-,2,-,-,8,-,-,2,2,1,19
20,Typhoid and paratyphoid,7,5,10,293,413,413,-,-,-,-,-,-,-,-,-,-,-,-,6,4,7,-,1,-,-,-,-,1,-,-,-,1,-,-,-,1,20
21,Undulant fever,-,2,3,119,126,118,-,-,-,-,-,-,-,-,-,-,-,-,:.,2,: .,-,-,-,-,-,-,-,-,-,:.,:,:,-,-,-,21
22,Venereal diseases:,268,315,319,"14,582","14,782","16,000",13,1,8,-,-,-,11,4,8,-,2,1,61,70,102,47,33,53,19,11,23,22,35,24,33,57,52,62,102,39,22
23,(a) Syphilis, primary,2,5,3,135,100,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,1,-,-,-,-,-,-,-,1,2,,23
24,(b) " secondary,1,2,1,42,46,60,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,24
25,(c) " other,29,28,50,"1,836","1,698","2,075",6,-,-,-,-,-,1,-,2,-,-,-,12,13,25,4,02,9,-,-,1,-,-,2,3,1,2,3,6,5,25
26,(d) Gonorrhoea,236,280,259,"12,557","12,928","13,073",7,1,7,-,-,-,10,4,5,-,2,1,49,55,67,42,23,41,19,10,22,22,35,20,30,56,49,57,94,32,26
27,(e) Other venereal diseases⁷,-,-,-,12,10,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,147,153,211,"6,675","7,713","8,245",-,-,-,-,-,2,2,6,5,-,-,1,54,10,67,52,36,-,-,1,7,-,2,8,13,10,18,26,88,13,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
