",,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week (8),Previous Week,Median 1951-55,"
"2,(a) With paralysis,2,1,4,361,551,""1,163"",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,12"
"3,(b) Without paralysis,1,1,1,206,376,""1,295"",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,13"
"4,Rubella,79,249,159,""52,080"",""20,409"",""10,116"",-,-,-,,,as,1,-,9,,,A.P.,28,48,7,35,18,117,-,4,-,A..,..,2,15,90,27,-,89,20,14"
"5,Scarlet fever, etc.⁵,145,129,White,""11,621"",""9,360"",""14,054"",6,1,3,8,6,10,16,12,28,1,-,3,29,46,69,68,35,63,1,1,12,4,7,12,12,14,98,-,7,54,15"
"6,Smallpox,-,-,-,-,-,-,-,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis: 4,106,171,170,""9,205"",""10,170"",""10,474"",1,10,11,-,1,1,4,1,1,5,9,14,64,79,42,16,4,33,9,16,11,7,5,5,-,20,15,-,26,26,17"
"8,(a) Pulmonary,86,159,133,""7,588"",""8,073"",""8,547"",1,10,10,-,-,-,4,1,1,5,9,14,62,78,40,(6),(6),(6),8,16,10,6,4,1,-,20,15,-,21,22,18"
"9,(b) Non-pulmonary,4,8,9,508,580,567,-,-,-,-,1,-,-,-,-,-,-,-,2,1,2,(6),(6),(6),1,-,-,1,1,1,-,-,-,-,5,4,19"
"0,Typhoid and paratyphoid,1,5,4,451,380,469,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,20"
"1,Undulant fever,4,2,1,143,122,133,-,-,-,-,-,-,-,-,-,-,-,-,4,:.,:.,-,1,-,-,-,-,-,-,-,...,..,...,-,1,-,21"
"2,Venereal diseases:,148,311,250,""16,737"",""16,647"",""18,207"",6,2,5,-,4,1,2,2,4,1,1,7,28,66,70,37,47,45,15,28,21,19,28,22,40,43,39,-,90,30,22"
"3,(a) Syphilis, primary,2,1,3,115,128,201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,-,-,1,-,-,-,23"
"4,(b) secondary,-,1,-,54,49,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,24"
"5,(c) other,21,25,38,""1,924"",""2,218"",""2,588"",-,-,3,-,-,-,-,-,-,1,1,1,8,12,-,5,4,9,-,3,-,2,1,1,5,-,1,-,4,4,25"
"6,(d) Gonorrhoea,125,283,213,""14,632"",""14,230"",""14,416"",6,2,3,-,4,1,2,2,4,-,-,5,20,54,21,32,43,40,13,25,21,17,25,20,35,42,38,-,86,28,26"
"7,(e) Other venereal diseases⁷,-,1,-,12,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,27"
"8,Whooping cough,64,112,190,""8,727"",""13,682"",""9,387"",-,-,-,1,3,-,-,-,5,-,2,1,39,76,51,13,13,48,5,2,7,3,2,3,3,2,10,-,12,17,28"
