Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie, (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Berthier,Berthier en Haut,,,,,,,,,,,,,,,,4,,,,,1,,
Lac St-Jean,Riverbend,,,,,,,,,,,,,,,,,,,1,,,,
,Chambord,,,,1,,,,,,,,,,,,,,,,,,,
,Hébertville,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Edwidge,,,,,,,,,,,,,,,,1,,,,,,,
,Isle Maligne,,,,,,,,,,,,,,,,12,,,,,,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,,,2,,,,,,,
L'Ássomption,St-Paul l'Ermite,,,,,,,,,,,,,,,,1,,,,,,,
,St-Sulpice,,,,,,,,,,,,,,,,,,,,,1,,
Laval,St-François de Sales,,,,,,,,,,,,,,4,,,,,,,2,,
,Abord à Plouffe,,,,,,,,,,,,,,,,,,,,,1,,
,Montréal-Est,,,,,,,,,,,,,,,,,,,,,,,
,Montréal-Nord,,,,,,,,,,,,,,2,,,,,,,1,,
,St-Jean de Dieu,,,,,,,,,,,,,,3,,,,,,,,,
Laviolette,St-Tite, ville,,,,,,2,,,,,,,,,,,,,8,,,,
L'Islet,St-Cyrille,,,,,,,,,,,,,,,,,,,,,,,
,Ashford,,,,,,,,,,,,,,,,2,,,,,1,,
Lotbinière,Issoudun,,,,3,,,,,,,,,,18,,,,,,,,,
,St-Flavien,,,,,,,,,,,,,,,,,,,,,,,
,St-Emélie,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,,,,,,,,,,,,,,5,,,,
Matane,Mont Joli,,,,1,,,,,,,,,,,,,,,4,,,,
,McNider,,,,,,,,,,,,,,,,,,,,,,,
