Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Thetford Mines,,,,,,,,,,,,1,,,,,,,,,3,,
,Black Lake,,,,,,,,,,,,4,,2,,,,,,,2,,
,Halifax Sud,,,,,,,,,,,,,,,,,,,,,1,,
Missisquoi,Philipsburg,,,,,,,,,,,,,,,,,,,1,,,,
,St-Igance de Stanbridge,,,,,,,,,,,,,,,,,1,,,,,,,
Montcalm:,St-Alphonse de Liguori,,,,,,,,,,,,1,,,,,,,,,,,
Montmagny,Montmagny Ville,,,,2,,,,,,,,,,,,,,,,,1,,
Nicolet,Ste-Sophie de Lévrard,,,,,,,,,,,,,,,,,,,,,,1,
Papineau,Portland, partie Est,,,,2,,,,,,,,,,,,1,,,,,2,,
,Masson,,,,,,,,,,,,,,,,,,,,,,,
,Buckingham,,,,,,,,,,,,,,,,,,,,,21,,
Portneuf,St-Casimir Village,,,,3,,,,,,,,,,,,,,,,,I,,
,St-Casimir Est,,,,2,,,,,,,,,,,,6,,,,,1,2,
,St-Casimir Paroisse,,,,,,,,,,,,,,,,,,,,,,,
,St-Léonard.,,,,1,,,,,,,,,,,5,,,,,,,,
,St-Rémi,,,,1,,,,,,,,,,,,,,,,,,,
,Notre-Dame des Anges,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Bromptonville,,,,,,,,,,,,,,,,,,,,,1,,
Rimouski,St-Gabriel,,,,,,,,,,,,,,,,1,,,,,,,
,Rimouski,,,,,,,,,,,,,,,,,,,,,13,,
Rouville,Marieville,,,,,,,,,,,,,,,,1,,,,,,,
,Richelieu,,,,,,,,,,,,,,,,,,,,,1,,
St-Hyacinthe,St-Hyacinthe,,,5 23,,,,,,,,,,,,,,,,,,,,
,La Providence,,,,,,,,,,,2,,,,,,,,,,1,,
,St-Charles,,,1,,,,,,,,,,,,,,,,,,1,,
,St-Jude,,,3,,,,,,,,,,,,,,,,,,,,
St-Jean,St-Jean Cité,,,,,,,,,,,,,,,,,,,,,,,
,Lacolle Village,,,,1,,,,,,,,,,,,,,,,,,3,
St-Maurice,Shawinigan Falls,,,5,1,,,,,,,,,,,,,,,,,,,
,Pointe du Lac,,,,,,,,,,,,,,,,,,,,,,,
Shefford,Shefford Canton,,,,6,,,,,,,,,,,,,,,,,,3,
,Granby,,,,,,,,,,,,1,,2,,,,,,,,,
,West Shefford,,,,,,,,,,,,,,3,,,,,,,,,
,Ely Nord,,,,,,,,,,,,,,2,,,,,,,,,
Sherbrooke,Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,
,Ascot,,,,3,,,,,,,,26,,7,,2,,,,,,,
Soulanges,St-Clet Paroisse,,,,1,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
