,St-Pascal,,,,,,,,,,,,,,,,1,,,,,,,,1929-30
,St-Alexandre,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Pacôme,,,,,,,,,,,,,,,,,,,,,,,,
Lac St-Jean,St-Joseph d'Alma,,,,4,,,,,,,,,,,,,,,,,,,,
Laprairie,Laprairie,,,,,,,,,,,,,,84,,,,,,,,,,
L'Assomption,L'Assomption,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Henri de Mascouche,,,,1,,,,,,,,,,,,,,,,,,,,
Laval,St-Jean de Dieu,,,,,,3,,,,,,,,,,,,,4,,,,,
,Laval des Rapides,,,3,,,,,,,,,,,,,1,,,,,,,,
,St-Martin,,,,,,,,,,,,,,6,,,,,,,,,,
,Montréal-Nord,,,,,,,,,,,,,,,,,,,1,,,,,
Lévis,St-Romuald d'Etchemin,,,,2,,,,,,,,,,,,,,,,,,,,
,Lévis,,,,1,,,,,,,,,,,,,,,,,,,,
Lotbinière,St-Edouard,,,1,,,,,,,,,,,,,,,,,,,,,
Matane,St-Octave de Métis,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,39
