cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,80.18,86.67,81.40,77.59,83.54,86.23,30.66,86.28,83.11,68.65,82.42,80.03,23.13,80.62,18.91,81.40,19.63,83.79,19.68,83.40,77.29,73.00,83.94,55.52,81.74,19.47,81.01,34.13,80.76,72.71,25.27,83.40,49.63,79.64,44.65,81.74,80.62,77.93,81.05,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,21,Undulant fever,5,2,5,115,108,108,-,-,-,-,#,-,-,-,-,-,-,-,2,...,3,3,2,1,I,I,I,-,-,0,a.a.,,a.a.,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,21,Undulant fever,3,5,2,118,110,114,-,was,-,-,-,-,-,-,-,I,-,we,3,2,1,en,3,S,1,-,-,-,**,-,9.8,**,P.A,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,21,Undulant fever,5,3,1,123,109,115,-,-,-,-,-,-,-,-,-,-,-,-,4,3,..,1,-,-,-,-,-,-,-,-,R.A,,..A,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,21,Undulant fever,2,5,2,125,109,115,-,-,-,-,-,-,-,-,-,-,-,-,2,4,...,-,1,1,-,-,-,-,-,-,A.S.,,...,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,21,Undulant fever,3,2,1,128,110,118,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,a.a,,,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,21,Undulant fever,2,3,1,130,112,119,-,-,-,-,-,-,-,-,-,-,-,-,1,1,..,1,2,-,,-,-,-,-,-,,,..,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,21,Undulant fever,2,2,3,132,115,120,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,-,-,-,-,-,-,...,R.A.,....,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,21,Undulant fever,2,2,2,134,117,124,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,....,...,:,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,21,Undulant fever,wis 3,2,,137,117,127,-,-,-,-,-,-,-,-,-,,-,-,3,2,...,-,-,,-,-,-,,-,-,,,,-,,,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,21,Undulant fever,1,3,1,138,120,131,-,-,-,-,-,-,-,-,-,-,-,-,P.A,3,1,-,-,-,-,-,-,I,-,I,,,...,1,=,I,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,21,Undulant fever,4,2,1,143,122,133,-,-,-,-,-,-,-,-,-,-,-,-,4,:.,:.,-,1,-,-,-,-,-,-,-,...,..,...,-,1,-,21,,,,,,,,
