2,1,1,23,36,36,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,12,FILLER
2,1,-,11,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,13,FILLER
"1,836","2,509",408,"20,424","7,380","3,849",22,5,-,...,A.P.,....,19,25,8,....,...,A.P.,790,1373,36,298,356,200,22,7,-,...,....,6,8,6,29,677,737,26,14,FILLER
 etc.⁵,319,352,324,"4,395","3,304","5,272",1,2,1,14,16,3,27,24,31,-,1,9,51,115,70,180,151,67,2,-,15,1,1,9,12,17,49,31,25,50,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
127,170,178,"2,162","2,240","2,562",7,11,3,1,1,-,-,-,4,9,6,14,61,68,69,15,22,20,10,10,11,2,14,7,8,8,18,14,30,29,17,FILLER
107,138,144,"1,774","1,785","2,075",7,11,2,1,1,-,-,-,4,9,6,14,57,66,66,(6),(6),(6),9,10,11,2,13,5,S,7.,15,14,24,21,18,FILLER
5,10,12,122,153,127,-,-,1,-,-,-,-,-,-,-,-,-,4,2,1,(6),(6),(6),1,-,-,-,1,1,P...,1,1,-,6,4,19,FILLER
4,6,7,83,50,126,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,-,1,1,-,-,-,-,3,-,-,-,-,2,-,1,20,FILLER
-,2,3,36,20,28,-,-,-,-,-,-,-,-,-,...,...,A.A.,...,2,1,-,-,-,-,-,-,-,-,-,A.O.,,A.O.,-,,-,21,FILLER
270,284,350,"4,109","4,393","4,584",5,4,9,-,-,-,8,10,12,4,1,6,79,46,90,46,49,62,29,30,27,18,20,25,35,61,49,46,63,50,22,FILLER
 primary,3,2,4,34,29,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,1,-,-,-,-,2,1,-,-,-,-,23
-,-,2,13,8,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,FILLER
40,26,46,452,637,762,-,-,3,-,-,-,2,2,3,1,-,1,20,8,18,6,8,14,2,5,1,1,1,3,2,1,1,6,1,8,25,FILLER
227,256,264,"3,610","3,711","3,597",5,4,5,-,-,-,6,8,9,3,1,4,59,38,60,40,41,48,26,24,25,17,19,17,31,59,45,40,62,49,26,FILLER
-,-,-,-,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
221,179,161,"2,270","4,276","2,359",34,2,1,11,17,-,5,2,13,2,-,-,106,112,36,22,11,35,2,7,7,2,2,2,4,15,7,33,11,31,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
,1955,,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
Per cent,Number,Per cent,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
100.0,"1,063",100.0,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
54.5,464,43.7,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
26.7,290,27.2,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
18.8,309,29.1,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
