file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,32,-,-,True,45.58
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,33,6,6,True,83.4
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,34,12,12,True,82.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,35,4,4,True,79.54
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,36,3,3,False,82.76
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,0,-,-,True,80.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,1,-,-,True,77.15
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,2,-,-,True,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,3,-,-,True,85.74
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,4,-,-,True,30.49
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,5,1,1,True,85.84
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,6,-,-,True,82.67
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,7,-,-,True,68.26
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,8,-,-,True,81.98
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,9,-,-,True,79.59
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,10,-,-,True,23.01
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,11,-,-,True,80.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,12,-,-,True,18.81
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,13,-,-,True,80.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,14,-,-,True,19.52
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,15,...,..,False,83.35
