file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Equal_No_Commas_No_Spaces,Equal_Shifted,Only_Numbers_Equal_Or_Shifted,Any_Equality,Confidence_Value,Lev_Dist,Lev_Sim
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,81.25,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,93.26,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,7,32,-- 10,10,False,False,False,False,False,72.75,3,0.4
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,9,34,P.O. 19,19,False,False,False,False,False,64.6,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,88.82,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,90.48,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,85.79,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,9,34,a.e. 24,24,False,False,False,False,False,34.57,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,86.82,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,89.89,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,90.33,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,91.89,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,7,33,A.A 9,9,False,False,False,False,False,83.3,4,0.1999999999999999
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,7,34,.... 106,106,False,False,False,False,False,46.78,5,0.375
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,9,34,a.e. 10,10,False,False,False,False,False,47.56,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,16,1,Tuberculosis: 4,"Tuberculosis: 4,6",False,False,False,False,False,91.11,2,0.8823529411764706
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,93.16,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,92.82,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,83.54,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,16,1,Tuberculosis: 4,"Tuberculosis: 4,6",False,False,False,False,False,93.36,2,0.8823529411764706
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,93.9,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,88.48,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,90.38,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,90.92,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,93.9,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,16,1,Tuberculosis: 4,"Tuberculosis: 4,6",False,False,False,False,False,89.06,2,0.8823529411764706
padded_cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,90.92,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,7,34,...P. 219,219,False,False,False,False,False,32.45,6,0.3333333333333333
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,90.19,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,94.38,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,9,34,...A 17,17,False,False,False,False,False,37.28,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,91.94,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,94.38,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,89.65,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,92.29,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,92.33,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,6,38,: 2,7,False,False,False,False,False,72.61,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,10,2, epidemic:⁴,5,False,False,False,False,False,77.1,11,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,16,1,Tuberculosis: 4,"Tuberculosis: 4,6",False,False,False,False,False,87.65,2,0.8823529411764706
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,91.21,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,7,34,P... 136,136,False,False,False,False,False,46.04,5,0.375
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,9,34,... 17,17,False,False,False,False,False,46.97,4,0.3333333333333333
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,86.62,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,91.7,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,13,31,- 2,2,False,False,False,False,False,55.27,2,0.3333333333333333
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,91.55,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,89.79,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,1,20,:.,1,False,False,False,False,False,82.37,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,2,22,:.,1,False,False,False,False,False,72.27,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,4,22,:.,1,False,False,False,False,False,76.12,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,10,2, epidemic:4,5,False,False,False,False,False,80.86,11,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,14,2, etc.,131,False,False,False,False,False,77.69,5,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,16,23,(6),23,False,False,False,False,False,56.15,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,16,24,(6),13,False,False,False,False,False,73.44,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,16,25,(6),25,False,False,False,False,False,39.72,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,18,23,2,(6),False,False,False,False,False,64.7,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,18,24,1,(6),False,False,False,False,False,84.67,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,19,18,..A,1,False,False,False,False,False,22.38,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,4,23,:.,1,False,False,False,False,False,23.23,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,4,24,:.,2,False,False,False,False,False,79.1,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,10,2, epidemic:⁴,2,False,False,False,False,False,80.22,11,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,10,31,(6),2,False,False,False,False,False,80.22,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,14,2, etc.⁵,105,False,False,False,False,False,81.79,6,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,87.79,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,16,23,(6),22,False,False,False,False,False,23.19,3,0.0
