Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
12,(a) With paralysis,2,1,5,4,6,11,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,1,12
13,(b) Without paralysis,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,114,119,186,396,900,509,-,-,-,...,...,...,11,5,9,9.2,...,R.R.,7,17,8,12,14,53,1,1,3,...,....,...,71,71,33,12,11,20,14
15,Scarlet fever, etc.5,303,179,302,740,756,816,19,7,3,6,9,10,183,36,17,-,-,3,18,66,39,45,50,112,1,3,7,3,2,28,19,5,20,9,1,33,15
16,Smallpox,-,-,-,-,-,-,-,-,-,R.9.,...,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",189,316,188,670,414,458,10,3,7,2,-,-,3,2,1,13,11,14,91,214,70,21,14,17,-,-,6,7,5,5,14,46,21,28,21,28,17
18,(a) Pulmonary,157,275,158,559,336,381,10,3,7,1,-,-,3,2,1,11,11,14,90,202,67,(7),(7),(7),-,-,4,5,2,3,12,37,20,25,18,28,18
19,(b) Non-pulmonary,11,27,10,43,36,27,-,-,-,1,-,-,-,-,-,2,-,-,1,12,1,(7),(7),(7),-,-,1,2,3,1,2,9,1,3,3,1,19
20,Typhoid and paratyphoid,7,8,8,19,21,16,1,-,-,-,-,-,-,-,-,5,-,-,1,8,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,20
21,Undulant fever,1,4,4,7,8,6,-,-,-,-,-,-,-,-,-,-,-,-,...,4,9.9.,1,-,1,-,-,-,-,-,-,...,....,...,-,-,-,21
22,Venereal diseases:,320,424,366,981,"1,017","1,017",5,17,7,-,2,-,13,7,14,3,5,5,88,81,79,49,71,77,26,23,30,28,28,24,45,69,63,63,121,86,22
23,(a) Syphilis, primary,4,2,4,7,8,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,2,2,1,23
24,(b) " secondary,1,1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,1,-,-,,-,-,24
25,(c) " other,43,35,47,105,99,128,-,-,-,-,-,-,2,-,2,-,-,-,26,23,17,6,6,11,1,-,1,1,-,1,,3,2,5,3,6,25
26,(d) Gonorrhoea,272,386,328,867,909,909,5,17,7,-,2,-,11,7,10,3,5.,4,62,58,51,43,64,54,25,23,29,26,28,22,41,66,56,56,116,82,26
27,(e) Other venereal diseases⁸,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,157,220,170,486,324,501,-,-,-,-,1,1,14,23,11,-,-,-,49,116,64,40,46,42,-,-,10,-,2,5,22,17,9,32,15,13,28
