Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
13,(b) Rubella,267,214,744,"3,366","11,689","11,268",-,-,-,a.e.,..A,a.e.,,a.e.,..a,R.P.,1.2,a.e.,5,8,31,120,124,117,44,4,-,...,...,..,74,46,32,24,32,30,14
14,Scarlet etc.5,183,206,272,"4,798","4,319","6,180",20,10,5,4,9,12,31,44,32,-,1,3,9,9,61,79,107,84,1,4,7,-,-,9,22,20,12,17,2,19,15
15,fever,,-,-,-,-,-,-,-,-,-,....,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16,Smallpox Tuberculosis:,159,128,206,"2,674","3,138","3,151",3,5,4,1,3,1,-,1,1,13,11,10,86,52,69,21,13,30,11,5,14,14,2,4,1,18,14,9,18,23,17
17,Pulmonary,124,107,146,"2,107","2,456","2,556",3,5,4,1,3,1,-,1,1,12,11,10,82,48,69,(7),(7),(7),7,5,13,12,1,2,1,15,13,6,18,21,18
18,(a) Non-pulmonary,14,8,11,.173,198,188,-,-,-,-,-,-,-,-,-,1,-,-,4,4,3,(7),(7),(7),4,-,-,2,1,2,-,3,1,3,-,4,19
19,(b) and paratyphoid,10,4,10,102,104,122,-,-,-,-,-,-,-,-,-,-,-,-,9,3,8,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,20
20,Typhoid fever,3,-,5,19,40,40,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,1,-,-,1,-,-,-,-,-,:,:.,..,-,-,-,21
21,Undulant Venereal diseases:,276,323,341,"5,750","5,767","5,935",11,13,9,-,-,1,-,2,8,4,9,3,63,81,103,43,48,52,23,34,31,16,20,22,63,33,46,53,83,72,22
22,primary,-,4,4,37,52,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,1,-,23
23,(a) Syphilis, " secondary,1,1,1,18,17,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,-,-,24
24,(b) " other,30,29,51,682,749,839,-,-,2,-,-,-,-,-,3,-,3,1,11,to,23,7,8,13,4,2,1,-,1,1,,1,3,2,6,7,25
25 26,(c) (d) Gonorrhoea,245,289,259,"5,012","4,946","4,946",11,13,7,-,-,1,-,2,6,4,6,2,49,73,64,36,36,39,19,32,28,16,19,16,59,32,40,51,76,63,26
27,(e) Other venereal,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,27
28,diseases⁸ Whooping cough,89,90,197,"2,072","2,619","3,168",-,-,-,-,8,4,1,3,5,-,-,-,10,16,70,38,26,30,-,1,3,3,2,3,/10,T13,14,27,21,,28
