Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
16,Smallpox,-,-,-,-,-,-,-,-,-,...,....,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,150,127,195,"2,363","2,853","2,853",-,5,9,-,1,-,1,-,3,11,6,7,86,60,88,16,20,30,8,15,13,1,3,4,4,6,17,23,11,35,17
18,(a) Pulmonary,121,96,174,"1,854","2,246","2,257",-,5,9,-,-,-,1,-,2,11,6,7,80,55,85,(7),(7),(7),8,10,13,-,3,4,4,6,17,17,11,29,18
19,(b) Non-pulmonary,13,11,6,149,179,175,-,-,-,-,1,-,-,-,1,-,-,-,6,5,2,(7),(7),(7),-,5,-,1,-,1,-,-,-,6,-,5,19
20,Typhoid and paratyphoid,11,6,8,88,89,107,-,-,-,-,-,-,-,-,-,-,-,-,10,6,6,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,20
21,Undulant fever,1,2,2,16,30,30,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,1,-,-,-,-,-,-,:,:.,: .,-,-,-,21
22,Venereal diseases:,286,307,323,"5,151","5,171","5,259",2,16,8,-,-,1,13,-,7,2,5,5,41,68,79,50,52,54,24,18,27,31,39,21,47,57,56,76,52,36,22
23,(a) Syphilis, primary,6,1,3,33,46,46,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,1,-,-,3,-,1,1,1,-,23
24,(b) " secondary,1,-,2,16,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,24
25," other,46,30,36,623,661,756,-,-,-,-,-,-,1,-,-,1,-,1,9,20,13,9,6,12,-,-,-,3,3,2,18,-,1,5,1,2,25
26,(c) (d) Gonorrhoea,233,274,283,"4,477","4,450","4,450",2,16,8,-,-,1,12,-,7,1,5,3,31,48,59,41,46,39,24,17,24,26,35,18,26,57,53,70,50,30,26
27,(e) Other venereal diseases⁸,-,2,-,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,27
28,Whooping cough,129,58,126,"1,893","2,426","2,747",-,-,-,-,6,2,5,7,3,-,-,-,14,8,46,42,15,17,20,-,3,-,2,4,7,1,7,41,19,18,28
