Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
13,(b) Without paralysis,4,7,32,23,67,250,-,-,-,-,-,-,-,-,-,-,-,3,-,-,4,-,-,7,3,6,1,-,-,3,1,1,3,-,-,5,12
14,Rubella,40,47,43,"6,631","15,666","15,666",-,-,-,R.P.,...,....,3,R.P.,9.9,R.P.,....,R.R,3,-,4,8,10,15,4,21,-,...,....,a.,10,7,8,12,9,9,13 14
15,Scarlet fever, etc. 5,92,78,60,"6,779","6,242","8,972",6,8,-,5,9,4,53,34,16,1,-,-,5,1,7,6,13,13,-,3,2,2,-,1,12,2,7,2,8,4,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,:.,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
17,Tuberculosis: "4,6",116,118,183,"5,134","5,619","6,705",5,6,14,-,2,1,-,2,-,6,3,7,59,33,71,11,20,14,11,6,20,10,3,3,4,35,17,10,8,31,16
18,(a) Pulmonary,97,90,161,"4,007","4,358","5,500",5,6,14,-,1,1,-,2,-,4,3,7,58,33,69,(7),(7),(7),8,5,18,9,1,3,4,31,14,9,8,26,17
19,(b) Non-pulmonary,8,8,8,388,362,379,-,-,-,-,1,-,-,-,-,2,-,-,1,-,2,(7),(7),(7),3,1,1,1,2,1,-,4,-,1,-,3,18
20,Typhoid and paratyphoid,13,11,7,219,191,293,1,-,-,-,1,-,-,-,-,1,1,-,10,4,5,-,2,1,-,-,-,1,-,-,-,3,-,-,-,-,19
21,Undulant fever,1,1,2,76,94,94,-,-,-,-,-,-,-,-,-,-,I,-,1,1,-,-,-,-,-,-,-,-,-,-,:,:,:,-,-,-,20
22,Venereal diseases:,313,323,340,"11,357","11,491","11,638",25,8,12,-,-,-,9,4,11,4,6,3,66,42,74,52,52,59,19,35,35,27,42,27,71,37,55,40,97,61,21 22
23,(a) Syphilis, primary,4,3,2,66,95,95,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-,1,-,-,-,-,3,-,1,-,-,-,23
24,(b) " secondary,-,3,3,45,32,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,I,-,-,-,1,-,
25,(c) " other,23,19,36,"1,275","1,464","1,567",-,-,1,-,-,-,1,-,2,2,1,-,8,9,15,9,5,11,-,-,1,1,2,2,1,-,2,1,2,3,24 25
26,(d) Gonorrhoea,286,298,300,"9,968","9,892","9,892",25,8,12,-,-,-,8,4,9,2,5,3,57,33,62,43,44,44,19,34,34,26,39,24,67,37,52,39,94,56,26
27,(e) Other venereal diseases ⁸,-,-,-,3,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,101,133,207,"4,502","5,058","5,843",-,-,-,3,-,-,3,40,2,-,-,-,30,28,69,41,30,70,-,-,5,4,6,6,11,13,21,9,16,15,28
